username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
b'Sally Carter \xe2\x9c\xa8',4432466265,2017-05-11 01:39:17,b'RT @PostRoz: Via 30 sources: Trump fired Comey over personal animus driven by Russia investigation not Clinton probe.  https://t.co/p0X5hPL...',26,None,1487,1380,0.0,0.3
b'FLResident\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',3192848121,2017-05-11 01:39:17,b'RT @DLoesch: A surefire way to further lose public trust is for the media to falsely report that Trump is under investigation when he is no...',226,None,19183,15141,-0.13333333333333336,0.38888888888888884
b'Josh Emerson',36697842,2017-05-11 01:39:17,b'Trump Campaign Aides Had Repeated Contacts With Russian Intelligence https://t.co/dwifGWoTNV',0,None,450,694,0.0,0.0
b'Mike George',270022368,2017-05-11 01:39:17,"b""RT @MrTommyCampbell: Welcome to Donald Trump's America where the 'jobs president' will fire you for doing your job.""",684,None,2,24,0.8,0.9
b'D. T. Bryan',269822909,2017-05-11 01:39:17,b'RT @Rosie: as well they should \nhe is done \nand it is insanity \nto allow him to continue \nas potus \n\ni am ashamed of how badly we have hand...',776,None,479,147,-0.6999999999999998,0.6666666666666666
b'Les Williams',291956022,2017-05-11 01:39:17,"b""RT @ColinKahl: I couldn't let foreign delegations bring phones/cameras into my EEOB office, yet Trump let Russian gov photographer+equipmen...""",363,None,381,783,-0.0625,0.0625
b'Proud Liberal',834524325638070272,2017-05-11 01:39:17,"b'RT @DavidCornDC: If Trump fired Comey bc of Russian investigation, this becomes an obstruction-of-justice (and impeachment) matter https://...'",2549,None,80,243,0.0,0.0
b'Maria Regovic',803779342438465541,2017-05-11 01:39:17,"b""RT @TheDemCoalition: Sad! Voters Accurately Call Trump 'Idiot' and 'Liar' in Disastrous New Poll https://t.co/Qw85lAnq78 via @adamkraymond...""",153,None,86,235,-0.3177272727272727,0.7375757575757576
b'Stuart Ponder',50950337,2017-05-11 01:39:17,"b'RT @RVAwonk: When Trump met with Kislyak today, he ""broke with precedent at the specific request of Putin."" \n\n...subtle. https://t.co/TMf8a...'",1483,None,117,609,0.0,0.125
b'MI SUNSHINE',805949156162490372,2017-05-11 01:39:17,"b""RT @funder: I wonder if the Michael D. Cohen Esq who ran this Ukrainian company's US HQ is the same as Trump's lawyer.\n\n#trumprussia #russi...""",107,trumprussia,336,498,0.0,0.125
b'Chrisella Herzog',24977216,2017-05-11 01:39:17,b'RT @kylegriffin1: McClatchy: Comey sought to expand Trump-Russia probe to former campaign officials--including Paul Manafort\nhttps://t.co/cB...',817,None,1194,2976,0.0,0.0
b'Maryanne Boyen',97882922,2017-05-11 01:39:17,b'RT @StopTrump2020: Trump has fired 3 people in charge of investigations targeting him.  #WORSEthanWatergate #CORRUPTION #Criminal #Trumprus...',47,WORSEthanWatergate,335,707,-0.4,0.55
b'Geopolitics Today',785539732356890624,2017-05-11 01:39:17,b'RT @nytimes: What all the Russia investigations have done and what could happen next https://t.co/cneKo1u6AA',74,None,577,321,0.0,0.0
b'Soleil Gregg',257968864,2017-05-11 01:39:17,"b""How Trump's anger and impatience prompted him to fire the FBI director\nhttps://t.co/piSj7gZFk9 #trumprussia""",0,trumprussia,31,39,-0.7,0.2
b'Susan Andereck',3743898441,2017-05-11 01:39:17,b'RT @counterchekist: @TrueFactsStated I concur. Trump kicked the hornets nest when he fired Comey. Everyone is livid.',136,None,55,271,0.0,0.0
b'rip \xce\xa3ilent\xce\xa3urplu\xce\xa3',280607497,2017-05-11 01:39:17,b'North jersey voted for trump https://t.co/61a8oVuJUk',0,None,1268,914,0.0,0.0
b'Carol Diaz',32885835,2017-05-11 01:39:17,"b'RT @MaddowBlog: Feb 24, 2017: Trump administration sought to enlist intelligence officials, key lawmakers to counter Russia stories https:/...'",206,None,572,683,0.0,1.0
b'Jerry LovesWine',37521810,2017-05-11 01:39:17,b'RT @ananavarro: Trump can fire Yates. He can fire Comey. He can tweet til he drops. Americans will not allow Russia issue to go away until...',4788,None,201,697,0.0,0.0
b'waaaaahat',14421337,2017-05-11 01:39:17,"b'RT @yashar: Update to this story. Comey told associates the President was ""crazy."" https://t.co/H6rVQ0lS4C https://t.co/0FlKZ6d86i'",73,None,299,641,-0.6,0.9
b'Nev down winder 1956',702909713164316672,2017-05-11 01:39:17,"b'RT @RealJack: CNN\'s Chris Cuomo said the Russia-Trump investigation was just ""heating up.""\n\nI\'m not sure I\'d define months of no evidence a...'",397,None,111,83,-0.25,0.8888888888888888
b'Pjhorns',368638736,2017-05-11 01:39:17,"b'RT @TeaPainUSA: Trump\'s @PressSec accused James Comey of ""commiting atrocities"" while Trump was busy smoochin\' the hineys of Putin\'s chief...'",287,None,168,460,0.1,0.3
